year,country,continent,gdpPercap,lifeExp,pop
1800,Grenada,america_north,959,31.4,29400
1800,Guatemala,america_north,857,25.8,459000
1800,Guinea,africa_sub_saharan,450,29.5,984000
1800,Guinea-Bissau,africa_sub_saharan,777,32,218000
1800,Guyana,america_south,1210,31.1,166000
1800,Haiti,america_north,633,29,723000
1800,Honduras,america_north,675,33.9,126000
1800,Hungary,europe_east,1250,36,3500000
1800,Iceland,europe_west,926,42.9,61400
1800,India,asia_west,1050,25.4,169000000
1800,Indonesia,east_asia_pacific,994,30,16100000
1800,Iran,asia_west,976,25.6,6270000
1800,Iraq,asia_west,969,31.2,1080000
1800,Ireland,europe_west,1450,38.3,4060000
1800,Israel,asia_west,879,32,210000
1800,Italy,europe_west,2220,29.7,18800000
1800,Jamaica,america_north,1170,34.2,401000
1800,Japan,east_asia_pacific,1050,36.4,30300000
1800,Jordan,asia_west,976,31.7,217000
1800,Kazakhstan,asia_west,1140,26.2,2040000
1800,Kenya,africa_sub_saharan,854,25.5,2570000
1800,Kiribati,east_asia_pacific,551,24.9,17900
1800,Kuwait,asia_west,1100,26,81300
1800,Kyrgyz Republic,asia_west,508,23.9,530000
1800,Lao,east_asia_pacific,864,31.9,470000
1800,Latvia,europe_east,751,33,591000
1800,Lebanon,asia_west,1080,29.7,332000
1800,Lesotho,africa_sub_saharan,393,32.8,276000
1800,Liberia,africa_sub_saharan,797,31.1,314000
1800,Libya,africa_north,1050,33.1,531000
1800,Lithuania,europe_east,1270,28.9,779000
1800,Luxembourg,europe_west,1450,36.9,127000
1800,"Macedonia, FYR",europe_east,690,36.1,392000
1800,Madagascar,africa_sub_saharan,573,30.5,1540000
1800,Malawi,africa_sub_saharan,350,30.3,737000
1800,Malaysia,east_asia_pacific,997,30.6,287000
1800,Maldives,asia_west,842,32.6,42400
1800,Mali,africa_sub_saharan,603,26.4,1400000
1800,Malta,europe_west,781,28.7,134000
1800,Mauritania,africa_sub_saharan,527,32,383000
1800,Mauritius,africa_sub_saharan,940,28.7,62900
1800,Mexico,america_north,1380,26.9,6180000
1800,"Micronesia, Fed. Sts.",east_asia_pacific,518,26.7,16400
1800,Moldova,europe_east,621,33.1,713000
1800,Mongolia,east_asia_pacific,592,31.8,619000
1800,Montenegro,europe_east,1060,35.4,127000
1800,Morocco,africa_north,714,33.1,2500000
1800,Mozambique,africa_sub_saharan,390,30.3,1980000
1800,Myanmar,east_asia_pacific,840,30.8,3510000
1800,Namibia,africa_sub_saharan,540,32.4,229000
1800,Nepal,asia_west,654,32.8,3880000
1800,Netherlands,europe_west,4230,39.9,2250000
1800,New Zealand,east_asia_pacific,658,34,100000
1800,Nicaragua,america_north,973,25.4,219000
1800,Niger,africa_sub_saharan,446,30.8,1240000
1800,Nigeria,africa_sub_saharan,851,30.4,12100000
1800,North Korea,east_asia_pacific,578,26,4350000
1800,Norway,europe_west,1280,37.9,869000
1800,Oman,asia_west,915,32.3,318000
1800,Pakistan,asia_west,1020,25.8,13100000
1800,Palestine,asia_west,1220,32.1,166000
1800,Panama,america_north,847,32.9,78800
1800,Papua New Guinea,east_asia_pacific,546,31.5,755000
1800,Paraguay,america_south,835,35.5,143000
1800,Peru,america_south,1200,35.7,1310000
1800,Philippines,east_asia_pacific,962,30.9,1890000
1800,Poland,europe_west,1210,35.9,9510000
1800,Portugal,europe_west,1680,35.6,3030000
1800,Qatar,asia_west,1100,30.8,14100
1800,Romania,europe_east,815,35.7,5460000
1800,Russia,europe_east,1430,29.6,31100000
1800,Rwanda,africa_sub_saharan,431,31.8,928000
1800,Samoa,east_asia_pacific,1400,25.4,47300
1800,Sao Tome and Principe,africa_sub_saharan,850,31,22700
1800,Saudi Arabia,asia_west,846,32.1,2090000
1800,Senegal,africa_sub_saharan,497,25.2,1010000
1800,Serbia,europe_east,1360,35.5,2150000
1800,Seychelles,africa_sub_saharan,792,37,12500
1800,Sierra Leone,africa_sub_saharan,734,25.1,794000
1800,Singapore,east_asia_pacific,1020,29.1,30000
1800,Slovak Republic,europe_east,1430,36.4,2140000
1800,Slovenia,europe_east,1410,36.6,470000
1800,Solomon Islands,east_asia_pacific,363,25.1,57000
1800,Somalia,africa_sub_saharan,694,29.4,991000
1800,South Africa,africa_sub_saharan,1480,33.5,1440000
1800,South Korea,east_asia_pacific,575,25.8,9400000
1800,South Sudan,africa_sub_saharan,507,26.7,1030000
1800,Spain,europe_west,1520,29.5,11500000
1800,Sri Lanka,asia_west,898,32.6,1210000
1800,St. Lucia,america_north,874,28,24000
1800,St. Vincent and the Grenadines,america_north,838,26,25800
1800,Sudan,africa_sub_saharan,518,31.4,3990000
1800,Suriname,america_south,1640,32.9,80700
1800,Swaziland,africa_sub_saharan,490,32.3,86000
1800,Sweden,europe_west,1410,32.2,2350000
1800,Switzerland,europe_west,2700,38,1830000
1800,Syria,asia_west,1080,31.1,1340000
1800,Tajikistan,asia_west,556,24.2,467000
1800,Tanzania,africa_sub_saharan,562,32.2,3020000
1800,Thailand,east_asia_pacific,931,30.4,4670000
1800,Timor-Leste,east_asia_pacific,521,28.9,137000
1800,Togo,africa_sub_saharan,682,31.3,446000
1800,Tonga,east_asia_pacific,663,28.2,18700
1800,Trinidad and Tobago,america_north,1230,32.9,60000
1800,Tunisia,africa_north,715,28.8,862000
1800,Turkey,europe_east,1220,35,9770000
1800,Turkmenistan,asia_west,943,24,367000
1800,Uganda,africa_sub_saharan,464,25.3,2100000
1800,Ukraine,europe_east,763,36.6,11200000
1800,United Arab Emirates,asia_west,998,30.7,40200
1800,United Kingdom,europe_west,3430,38.6,12300000
1800,United States,america_north,2130,39.4,6800000
1800,Uruguay,america_south,1760,32.9,55000
1800,Uzbekistan,asia_west,502,26.9,1920000
1800,Vanuatu,east_asia_pacific,585,24.3,27800
1800,Venezuela,america_south,682,32.2,718000
1800,Vietnam,east_asia_pacific,861,32,6550000
1800,Yemen,asia_west,877,23.4,2590000
1800,Zambia,africa_sub_saharan,663,32.6,747000
1800,Zimbabwe,africa_sub_saharan,869,33.7,1090000
1801,Afghanistan,asia_west,603,28.2,3280000
1801,Albania,europe_east,667,35.4,412000
1801,Algeria,africa_north,716,28.8,2510000
1801,Angola,africa_sub_saharan,620,27,1570000
1801,Antigua and Barbuda,america_north,757,33.5,37000
1801,Argentina,america_south,1510,33.2,534000
1801,Armenia,europe_east,514,34,413000
1801,Australia,east_asia_pacific,816,34,350000
1801,Austria,europe_west,1850,34.4,3210000
1801,Azerbaijan,europe_east,775,29.2,880000
1801,Bahamas,america_north,1450,35.2,27400
1801,Bahrain,asia_west,1240,30.3,64500
1801,Bangladesh,asia_west,876,25.5,19300000
1801,Barbados,america_north,914,32.1,81700
1801,Belarus,europe_east,608,36.2,2360000
1801,Belgium,europe_west,2410,40,3150000
1801,Belize,america_north,579,26.5,25500
1801,Benin,africa_sub_saharan,597,31,637000
1801,Bhutan,asia_west,629,28.8,90000
1801,Bolivia,america_south,854,33,1100000
1801,Bosnia and Herzegovina,europe_east,669,35.1,852000
1801,Botswana,africa_sub_saharan,397,33.6,121000
1801,Brazil,america_south,1110,32,3680000
1801,Brunei,east_asia_pacific,1510,29.2,2130
1801,Bulgaria,europe_east,1090,35.8,2000000
1801,Burkina Faso,africa_sub_saharan,480,29.2,1670000
1801,Burundi,africa_sub_saharan,418,31.5,899000
1801,Cambodia,east_asia_pacific,904,35,2090000
1801,Cameroon,africa_sub_saharan,626,28.8,1860000
1801,Canada,america_north,1320,39,653000
1801,Cape Verde,africa_sub_saharan,529,33.8,55700
1801,Central African Republic,africa_sub_saharan,424,30,479000
1801,Chad,africa_sub_saharan,418,30.9,1430000
1801,Chile,america_south,1030,32,771000
1801,China,east_asia_pacific,984,32,324000000
1801,Colombia,america_south,962,32,1210000
1801,Comoros,africa_sub_saharan,697,32.1,56300
1801,"Congo, Dem. Rep.",africa_sub_saharan,487,31.6,5160000
1801,"Congo, Rep.",africa_sub_saharan,576,32.7,314000
1801,Costa Rica,america_north,775,30.2,53000
1801,Cote d'Ivoire,africa_sub_saharan,816,31.2,1090000
1801,Croatia,europe_east,1090,36.1,1230000
1801,Cuba,america_north,874,32.3,355000
1801,Cyprus,europe_west,854,38.5,184000
1801,Czech Republic,europe_east,1920,35,5520000
1801,Denmark,europe_west,2020,38.5,1070000
1801,Djibouti,africa_north,754,29.9,22800
1801,Dominican Republic,america_north,667,29.9,89000
1801,Ecuador,america_south,529,32.9,500000
1801,Egypt,africa_north,791,33,4240000
1801,El Salvador,america_north,975,28.7,248000
1801,Equatorial Guinea,africa_sub_saharan,356,29.8,80400
1801,Eritrea,africa_sub_saharan,532,30.2,205000
1801,Estonia,europe_east,939,35.7,334000
1801,Ethiopia,africa_sub_saharan,523,29.7,2950000
1801,Fiji,east_asia_pacific,785,26.1,131000
1801,Finland,europe_east,1250,40.3,986000
1801,France,europe_west,1810,36.4,29400000
1801,Gabon,africa_sub_saharan,390,30.6,158000
1801,Gambia,africa_sub_saharan,813,28.8,103000
1801,Georgia,europe_east,543,31.9,1070000
1801,Germany,europe_west,1650,38.4,23000000
1801,Ghana,africa_sub_saharan,696,28,2020000
1801,Greece,europe_west,1370,36.6,2160000
1801,Grenada,america_north,959,31.4,29400
1801,Guatemala,america_north,857,25.8,465000
1801,Guinea,africa_sub_saharan,450,29.5,984000
1801,Guinea-Bissau,africa_sub_saharan,777,32,218000
1801,Guyana,america_south,1210,31.1,166000
1801,Haiti,america_north,633,29,723000
1801,Honduras,america_north,675,33.9,130000
1801,Hungary,europe_east,1250,36,3530000
1801,Iceland,europe_west,926,33.9,61400
1801,India,asia_west,1050,25.4,169000000
1801,Indonesia,east_asia_pacific,994,30,16200000
1801,Iran,asia_west,977,25.6,6280000
1801,Iraq,asia_west,969,31.2,1080000
1801,Ireland,europe_west,1450,38.3,4110000
1801,Israel,asia_west,880,32,210000
1801,Italy,europe_west,2200,29.7,18900000
1801,Jamaica,america_north,1170,34.2,401000
1801,Japan,east_asia_pacific,1050,36.4,30300000
1801,Jordan,asia_west,976,31.7,217000
1801,Kazakhstan,asia_west,1140,26.2,2040000
1801,Kenya,africa_sub_saharan,856,25.5,2570000
1801,Kiribati,east_asia_pacific,551,24.9,17900
1801,Kuwait,asia_west,1100,26,81300
1801,Kyrgyz Republic,asia_west,508,23.9,530000
1801,Lao,east_asia_pacific,865,31.9,470000
1801,Latvia,europe_east,752,33,591000
1801,Lebanon,asia_west,1080,29.7,332000
1801,Lesotho,africa_sub_saharan,393,32.8,276000
1801,Liberia,africa_sub_saharan,797,31.1,314000
1801,Libya,africa_north,1050,33.1,532000
1801,Lithuania,europe_east,1270,28.9,779000
1801,Luxembourg,europe_west,1450,36.9,127000
1801,"Macedonia, FYR",europe_east,690,36.1,392000
1801,Madagascar,africa_sub_saharan,573,30.5,1550000
1801,Malawi,africa_sub_saharan,350,30.3,737000
1801,Malaysia,east_asia_pacific,997,30.6,287000
1801,Maldives,asia_west,843,32.6,42400
1801,Mali,africa_sub_saharan,603,26.4,1400000
1801,Malta,europe_west,782,28.7,134000
1801,Mauritania,africa_sub_saharan,528,32,383000
1801,Mauritius,africa_sub_saharan,940,28.7,64200
1801,Mexico,america_north,1380,26.9,6200000
1801,"Micronesia, Fed. Sts.",east_asia_pacific,518,26.7,16400
1801,Moldova,europe_east,621,33.1,713000
1801,Mongolia,east_asia_pacific,592,31.8,619000
1801,Montenegro,europe_east,1060,35.4,127000
1801,Morocco,africa_north,714,33.1,2510000
1801,Mozambique,africa_sub_saharan,391,30.3,1990000
1801,Myanmar,east_asia_pacific,840,30.8,3510000
1801,Namibia,africa_sub_saharan,540,32.4,229000
1801,Nepal,asia_west,654,32.8,3880000
1801,Netherlands,europe_west,4160,39.9,2260000
1801,New Zealand,east_asia_pacific,658,34,100000
1801,Nicaragua,america_north,973,25.4,219000
1801,Niger,africa_sub_saharan,446,30.8,1240000
1801,Nigeria,africa_sub_saharan,853,30.4,12100000
1801,North Korea,east_asia_pacific,578,26,4350000
1801,Norway,europe_west,1280,35.8,873000
1801,Oman,asia_west,916,32.3,318000
1801,Pakistan,asia_west,1020,25.8,13100000
1801,Palestine,asia_west,1220,32.1,166000
1801,Panama,america_north,847,32.9,78800
1801,Papua New Guinea,east_asia_pacific,546,31.5,755000
1801,Paraguay,america_south,835,35.5,143000
1801,Peru,america_south,1200,35.7,1310000
1801,Philippines,east_asia_pacific,962,30.9,1890000
1801,Poland,europe_west,1220,35.9,9550000
1801,Portugal,europe_west,1680,35.6,3050000
1801,Qatar,asia_west,1100,30.8,14100
1801,Romania,europe_east,815,35.7,5510000
1801,Russia,europe_east,1430,29.6,31100000
1801,Rwanda,africa_sub_saharan,432,25,928000
1801,Samoa,east_asia_pacific,1400,25.4,47300
1801,Sao Tome and Principe,africa_sub_saharan,852,31,22700
1801,Saudi Arabia,asia_west,846,32.1,2090000
1801,Senegal,africa_sub_saharan,497,25.2,1010000
1801,Serbia,europe_east,1360,35.5,2150000
1801,Seychelles,africa_sub_saharan,795,37,12500
1801,Sierra Leone,africa_sub_saharan,734,25.1,794000
1801,Singapore,east_asia_pacific,1020,29.1,30000
1801,Slovak Republic,europe_east,1430,36.4,2140000
1801,Slovenia,europe_east,1410,36.6,470000
1801,Solomon Islands,east_asia_pacific,363,25.1,57000
1801,Somalia,africa_sub_saharan,694,29.4,992000
1801,South Africa,africa_sub_saharan,1480,33.5,1450000
1801,South Korea,east_asia_pacific,575,25.8,9400000
1801,South Sudan,africa_sub_saharan,507,26.7,1030000
1801,Spain,europe_west,1520,29.5,11600000
1801,Sri Lanka,asia_west,898,32.6,1210000
1801,St. Lucia,america_north,875,28,24000
1801,St. Vincent and the Grenadines,america_north,838,26,25800
1801,Sudan,africa_sub_saharan,518,31.4,4000000
1801,Suriname,america_south,1640,32.9,80700
1801,Swaziland,africa_sub_saharan,490,32.3,86000
1801,Sweden,europe_west,1400,36.9,2350000
1801,Switzerland,europe_west,2700,38,1830000
1801,Syria,asia_west,1080,31.1,1340000
1801,Tajikistan,asia_west,557,24.2,467000
1801,Tanzania,africa_sub_saharan,562,32.2,3020000
1801,Thailand,east_asia_pacific,931,30.4,4670000
1801,Timor-Leste,east_asia_pacific,522,28.9,137000
1801,Togo,africa_sub_saharan,683,31.3,446000
1801,Tonga,east_asia_pacific,663,28.2,18700
1801,Trinidad and Tobago,america_north,1230,32.9,60000
1801,Tunisia,africa_north,715,28.8,863000
1801,Turkey,europe_east,1220,35,9790000
1801,Turkmenistan,asia_west,944,24,367000
1801,Uganda,africa_sub_saharan,464,25.3,2100000
1801,Ukraine,europe_east,764,36.6,11200000
1801,United Arab Emirates,asia_west,1000,30.7,40200
1801,United Kingdom,europe_west,3440,37.4,12500000
1801,United States,america_north,2170,39.4,6930000
1801,Uruguay,america_south,1760,32.9,55000
1801,Uzbekistan,asia_west,502,26.9,1920000
1801,Vanuatu,east_asia_pacific,586,24.3,27800
1801,Venezuela,america_south,682,32.2,718000
1801,Vietnam,east_asia_pacific,861,32,6550000
1801,Yemen,asia_west,879,23.4,2590000
1801,Zambia,africa_sub_saharan,665,32.6,747000
1801,Zimbabwe,africa_sub_saharan,870,33.7,1090000
1802,Afghanistan,asia_west,603,28.2,3280000
1802,Albania,europe_east,667,35.4,413000
1802,Algeria,africa_north,717,28.8,2520000
1802,Angola,africa_sub_saharan,623,27,1570000
1802,Antigua and Barbuda,america_north,757,33.5,37000
1802,Argentina,america_south,1510,33.2,534000
1802,Armenia,europe_east,514,34,413000
1802,Australia,east_asia_pacific,818,34,349000
1802,Austria,europe_west,1860,34.4,3220000
1802,Azerbaijan,europe_east,775,29.2,880000
1802,Bahamas,america_north,1450,35.2,27400
1802,Bahrain,asia_west,1250,30.3,64500
1802,Bangladesh,asia_west,876,25.5,19300000
1802,Barbados,america_north,914,32.1,81700
1802,Belarus,europe_east,608,36.2,2360000
1802,Belgium,europe_west,2410,40,3170000
1802,Belize,america_north,579,26.5,25500
1802,Benin,africa_sub_saharan,597,31,637000
1802,Bhutan,asia_west,630,28.8,90000
1802,Bolivia,america_south,854,33,1100000
1802,Bosnia and Herzegovina,europe_east,669,35.1,852000
1802,Botswana,africa_sub_saharan,397,33.6,121000
1802,Brazil,america_south,1110,32,3720000
1802,Brunei,east_asia_pacific,1510,29.2,2130
1802,Bulgaria,europe_east,1090,35.9,2010000
1802,Burkina Faso,africa_sub_saharan,480,29.2,1670000
1802,Burundi,africa_sub_saharan,419,31.5,899000
1802,Cambodia,east_asia_pacific,904,35,2090000
1802,Cameroon,africa_sub_saharan,626,28.8,1860000
1802,Canada,america_north,1330,39,661000
1802,Cape Verde,africa_sub_saharan,529,33.8,55700
1802,Central African Republic,africa_sub_saharan,424,30,479000
1802,Chad,africa_sub_saharan,418,30.9,1430000
1802,Chile,america_south,1030,32,771000
1802,China,east_asia_pacific,984,32,327000000
1802,Colombia,america_south,962,32,1210000
1802,Comoros,africa_sub_saharan,697,32.1,56300
1802,"Congo, Dem. Rep.",africa_sub_saharan,489,31.6,5160000
1802,"Congo, Rep.",africa_sub_saharan,578,32.7,314000
1802,Costa Rica,america_north,775,30.2,53500
1802,Cote d'Ivoire,africa_sub_saharan,819,31.2,1090000
1802,Croatia,europe_east,1100,36.1,1230000
1802,Cuba,america_north,884,32.5,366000
1802,Cyprus,europe_west,854,38.5,184000
1802,Czech Republic,europe_east,1920,35,5520000
1802,Denmark,europe_west,2020,44.4,1070000
1802,Djibouti,africa_north,757,29.9,22800
1802,Dominican Republic,america_north,667,29.9,89000
1802,Ecuador,america_south,529,32.9,500000
1802,Egypt,africa_north,791,33,4240000
1802,El Salvador,america_north,975,28.7,248000
1802,Equatorial Guinea,africa_sub_saharan,357,29.8,80400
1802,Eritrea,africa_sub_saharan,532,30.2,205000
1802,Estonia,europe_east,940,35.3,334000
1802,Ethiopia,africa_sub_saharan,523,29.7,2950000
1802,Fiji,east_asia_pacific,785,26.1,131000
1802,Finland,europe_east,1250,39.2,995000
1802,France,europe_west,1810,34.4,29500000
1802,Gabon,africa_sub_saharan,390,30.6,158000
1802,Gambia,africa_sub_saharan,814,28.8,103000
1802,Georgia,europe_east,543,31.9,1070000
1802,Germany,europe_west,1660,38.4,23100000
1802,Ghana,africa_sub_saharan,697,28,2020000
1802,Greece,europe_west,1380,36.6,2170000
1802,Grenada,america_north,959,31.4,29400
1802,Guatemala,america_north,857,25.8,471000
1802,Guinea,africa_sub_saharan,450,29.5,984000
1802,Guinea-Bissau,africa_sub_saharan,777,32,218000
1802,Guyana,america_south,1210,31.1,166000
1802,Haiti,america_north,634,29,723000
1802,Honduras,america_north,675,33.9,130000
1802,Hungary,europe_east,1250,36,3560000
1802,Iceland,europe_west,927,27.6,61400
1802,India,asia_west,1050,25,169000000
1802,Indonesia,east_asia_pacific,995,30,16200000
1802,Iran,asia_west,977,25.6,6300000
1802,Iraq,asia_west,970,31.2,1080000
1802,Ireland,europe_west,1450,38.3,4150000
1802,Israel,asia_west,880,32,210000
1802,Italy,europe_west,2270,29.7,19000000
1802,Jamaica,america_north,1170,34.2,401000
1802,Japan,east_asia_pacific,1050,36.4,30400000
1802,Jordan,asia_west,976,31.7,217000
1802,Kazakhstan,asia_west,1140,26.2,2040000
1802,Kenya,africa_sub_saharan,859,25.5,2570000
1802,Kiribati,east_asia_pacific,552,24.9,17900
1802,Kuwait,asia_west,1110,26,81300
1802,Kyrgyz Republic,asia_west,508,23.9,530000
1802,Lao,east_asia_pacific,865,31.9,470000
1802,Latvia,europe_east,753,33,591000
1802,Lebanon,asia_west,1080,29.7,332000
1802,Lesotho,africa_sub_saharan,394,32.8,276000
1802,Liberia,africa_sub_saharan,797,31.1,314000
1802,Libya,africa_north,1050,33.1,532000
1802,Lithuania,europe_east,1270,28.9,779000
1802,Luxembourg,europe_west,1450,36.9,127000
1802,"Macedonia, FYR",europe_east,690,36.1,392000
1802,Madagascar,africa_sub_saharan,573,30.5,1560000
1802,Malawi,africa_sub_saharan,350,30.3,737000
1802,Malaysia,east_asia_pacific,997,30.6,287000
1802,Maldives,asia_west,843,32.6,42400
1802,Mali,africa_sub_saharan,603,26.4,1400000
1802,Malta,europe_west,782,28.7,134000
1802,Mauritania,africa_sub_saharan,528,32,383000
1802,Mauritius,africa_sub_saharan,940,28.7,65600
1802,Mexico,america_north,1380,26.9,6220000
1802,"Micronesia, Fed. Sts.",east_asia_pacific,518,26.7,16400
1802,Moldova,europe_east,621,33.1,713000
1802,Mongolia,east_asia_pacific,592,31.8,619000
1802,Montenegro,europe_east,1060,35.4,127000
1802,Morocco,africa_north,715,33.1,2520000
1802,Mozambique,africa_sub_saharan,391,30.3,1990000
1802,Myanmar,east_asia_pacific,840,30.8,3510000
1802,Namibia,africa_sub_saharan,540,32.4,229000
1802,Nepal,asia_west,654,32.8,3880000
1802,Netherlands,europe_west,4390,39.9,2260000
1802,New Zealand,east_asia_pacific,658,34,100000
1802,Nicaragua,america_north,973,25.4,219000
1802,Niger,africa_sub_saharan,446,30.8,1240000
1802,Nigeria,africa_sub_saharan,854,30.4,12100000
1802,North Korea,east_asia_pacific,577,26,4350000
1802,Norway,europe_west,1280,38.4,878000
1802,Oman,asia_west,916,32.3,318000
1802,Pakistan,asia_west,1020,25.8,13200000
1802,Palestine,asia_west,1220,32.1,166000
1802,Panama,america_north,847,32.9,78800
1802,Papua New Guinea,east_asia_pacific,546,31.5,755000
1802,Paraguay,america_south,835,35.5,143000
1802,Peru,america_south,1200,35.7,1310000
1802,Philippines,east_asia_pacific,962,30.9,1890000
1802,Poland,europe_west,1220,35.9,9600000
1802,Portugal,europe_west,1680,35.6,3060000
1802,Qatar,asia_west,1110,30.8,14100
1802,Romania,europe_east,815,35.7,5550000
1802,Russia,europe_east,1430,29.6,31100000
1802,Rwanda,africa_sub_saharan,432,25,928000
1802,Samoa,east_asia_pacific,1400,25.4,47300
1802,Sao Tome and Principe,africa_sub_saharan,853,31,22700
1802,Saudi Arabia,asia_west,847,32.1,2090000
1802,Senegal,africa_sub_saharan,497,25.2,1010000
1802,Serbia,europe_east,1360,35.5,2150000
1802,Seychelles,africa_sub_saharan,798,37,12500
1802,Sierra Leone,africa_sub_saharan,734,25.1,794000
1802,Singapore,east_asia_pacific,1020,29.1,30000
1802,Slovak Republic,europe_east,1430,36.4,2140000
1802,Slovenia,europe_east,1410,36.6,470000
1802,Solomon Islands,east_asia_pacific,363,25.1,57000
1802,Somalia,africa_sub_saharan,695,29.4,992000
1802,South Africa,africa_sub_saharan,1480,33.5,1450000
1802,South Korea,east_asia_pacific,574,25.8,9400000
1802,South Sudan,africa_sub_saharan,507,26.7,1030000
1802,Spain,europe_west,1520,29.5,11600000
1802,Sri Lanka,asia_west,898,32.6,1210000
1802,St. Lucia,america_north,875,28,24000
1802,St. Vincent and the Grenadines,america_north,838,26,25800
1802,Sudan,africa_sub_saharan,518,31.4,4000000
1802,Suriname,america_south,1640,32.9,80700
1802,Swaziland,africa_sub_saharan,490,32.3,86000
1802,Sweden,europe_west,1470,40.2,2360000
1802,Switzerland,europe_west,2700,38,1840000
1802,Syria,asia_west,1080,31.1,1340000
1802,Tajikistan,asia_west,557,24.2,467000
1802,Tanzania,africa_sub_saharan,562,32.2,3020000
1802,Thailand,east_asia_pacific,931,30.4,4670000
1802,Timor-Leste,east_asia_pacific,523,28.9,137000
1802,Togo,africa_sub_saharan,683,31.3,446000
1802,Tonga,east_asia_pacific,663,28.2,18700
1802,Trinidad and Tobago,america_north,1230,32.9,60000
1802,Tunisia,africa_north,716,28.8,863000
1802,Turkey,europe_east,1220,35,9800000
1802,Turkmenistan,asia_west,945,24,367000
1802,Uganda,africa_sub_saharan,464,25.3,2100000
1802,Ukraine,europe_east,765,36.6,11200000
1802,United Arab Emirates,asia_west,1010,30.7,40200
1802,United Kingdom,europe_west,3450,38.6,12600000
1802,United States,america_north,2200,39.4,7070000
1802,Uruguay,america_south,1760,32.9,55000
1802,Uzbekistan,asia_west,502,26.9,1920000
1802,Vanuatu,east_asia_pacific,586,24.3,27800
1802,Venezuela,america_south,682,32.2,718000
1802,Vietnam,east_asia_pacific,861,32,6550000
1802,Yemen,asia_west,882,23.4,2590000
1802,Zambia,africa_sub_saharan,667,32.6,747000
1802,Zimbabwe,africa_sub_saharan,871,33.7,1090000
1803,Afghanistan,asia_west,603,28.2,3280000
1803,Albania,europe_east,667,35.4,414000
1803,Algeria,africa_north,718,28.8,2530000
1803,Angola,africa_sub_saharan,626,27,1570000
1803,Antigua and Barbuda,america_north,757,33.5,37000
1803,Argentina,america_south,1510,33.2,534000
1803,Armenia,europe_east,514,34,413000
